STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
1790.0,"PULICATE LAKE , NELLORE 
DIST.",LAKE,"ANDHRA 
PRADESH",27.0,28.0,5.1,6.9,7.1,8.5,3270.0,156600.0,1.0,2.3,0.65,6.9,2.0,2.0,800.0,1600.0
2353.0,"KONDACHARLA-AAVA LAKE, 
PARAWADA PHARMA CITY, 
VISHAKHAPATNAM, A.P",LAKE,"ANDHRA 
PRADESH",24.0,28.0,5.9,6.8,6.9,8.4,597.0,1034.0,1.3,2.3,1.16,3.36,11.0,29.0,350.0,2400.0
2205.0,"MER BEEL AT MADHABPUR, 
ASSAM",LAKE,ASSAM,20.0,27.0,2.2,7.2,5.7,7.0,50.0,128.0,1.0,16.2,0.1,1.7,300.0,2000.0,360.0,6400.0
2206.0,"DALONI BEEL NEAR 
JOGIGHOPA, ASSAM",LAKE,ASSAM,22.0,36.0,5.1,6.0,6.6,7.8,54.0,153.0,0.9,2.8,0.1,1.4,300.0,1200.0,300.0,5300.0
1263.0,"ELANGABEEL SYSTEM POND 
(CONNECTED TO R. KOLANG), 
ASSAM",POND,ASSAM,22.0,34.0,0.7,4.6,6.8,8.4,263.0,972.0,4.5,14.7,0.8,5.7,1100.0,3500.0,730.0,21000.0
2207.0,"BOR BEEL AT JAKAI., ASSAM",POND,ASSAM,20.0,35.0,3.5,6.8,6.1,7.3,26.0,235.0,2.2,18.1,0.5,1.9,300.0,2100.0,360.0,29000.0
2208.0,"BORPUKHURI, NAZIRA, ASSAM",POND,ASSAM,18.0,31.0,5.0,7.3,5.8,7.6,25.0,38.0,2.0,3.2,0.1,2.5,360.0,1500.0,300.0,15000.0
2209.0,"GAURISAGAR TANK, 
GAURISAGAR, ASSAM",POND,ASSAM,20.0,32.0,5.2,8.1,5.6,7.8,23.0,38.0,1.9,4.1,0.1,1.7,360.0,2800.0,360.0,21000.0
2210.0,"RAJMAW PUKHURI, JORHAT, 
ASSAM",POND,ASSAM,21.0,32.0,5.1,6.5,6.7,7.4,45.0,81.0,1.1,4.8,0.1,1.9,300.0,1500.0,300.0,4400.0
2211.0,"PADUMPUKHURI, TEZPUR, 
ASSAM",POND,ASSAM,22.0,30.0,7.2,8.3,7.1,9.1,195.0,264.0,3.8,12.7,0.9,3.4,300.0,720.0,300.0,4400.0
2212.0,"GOPHUR TANK, GOPHUR, 
ASSAM",POND,ASSAM,20.0,30.0,7.4,9.2,6.8,7.8,64.0,92.0,2.8,6.2,0.2,1.2,360.0,2000.0,360.0,3600.0
2213.0,"JAIPAL PUKHURI, SIPAJHAR, 
ASSAM",POND,ASSAM,20.0,31.0,7.0,8.3,7.2,8.8,26.0,246.0,4.5,18.8,0.7,2.1,300.0,910.0,360.0,1500.0
2214.0,"BOTODRIVA SATRA POND, 
NAGAON, ASSAM",POND,ASSAM,23.0,38.0,2.6,8.0,6.1,7.2,26.0,44.0,3.3,18.9,0.2,1.3,300.0,2000.0,910.0,4400.0
2215.0,"SARAN BEEL, ASSAM",POND,ASSAM,23.0,34.0,1.2,5.9,5.9,7.8,8.0,79.0,1.2,4.8,0.5,1.7,300.0,2100.0,910.0,29000.0
2216.0,"DIGHALI PUKHURI, 
GUWAHATI, ASSAM",POND,ASSAM,23.0,32.0,6.4,10.5,7.7,9.2,153.0,220.0,3.0,15.5,0.8,2.9,300.0,1500.0,360.0,4400.0
2217.0,"SUBHAGYA KUNDA POND 
KAMAKHYA TEMPLE, 
GUWAHATI, ASSAM",POND,ASSAM,19.0,31.0,3.7,9.9,6.7,7.9,282.0,417.0,2.8,6.2,1.6,3.0,700.0,21000.0,360.0,240000.0
2218.0,"DEEPAR BEEL AT BORAGAON 
NEAR IASST, GUWAHATI, 
ASSAM",POND,ASSAM,21.0,31.0,4.5,12.4,6.2,9.6,122.0,313.0,2.4,7.2,0.7,18.72,300.0,2000.0,730.0,3600.0
2219.0,"BISHNU PUSKAR PUKHURI OF 
HAYAGRIB MADHAB TEMPLE, 
HAJO, ASSAM",POND,ASSAM,22.0,34.0,1.9,15.1,6.6,8.5,190.0,237.0,4.2,14.2,0.7,1.8,300.0,1500.0,910.0,21000.0
2220.0,"CHAND DUBI BEEL, CHAND 
DUBI, ASSAM",POND,ASSAM,22.0,34.0,5.2,8.5,5.5,7.3,26.0,48.0,1.6,2.9,0.7,4.5,300.0,730.0,360.0,2700.0
2221.0,"GANGA PUKHURI, NALBARI 
(GORDON SCHOOL), ASSAM",POND,ASSAM,23.0,35.0,3.9,10.8,6.7,7.8,50.0,176.0,2.2,4.8,0.3,1.4,300.0,2700.0,300.0,12000.0
2222.0,"RAJADINIA PUKHURI AT 
ABHAYAPURI, ASSAM",POND,ASSAM,23.0,36.0,4.5,5.7,6.1,7.9,24.0,28.0,1.0,7.6,0.1,1.4,300.0,730.0,360.0,2400.0
2223.0,"MAHAMAYA MANDIR 
PUKHURI, ASSAM",POND,ASSAM,22.0,35.0,4.7,5.9,6.4,7.6,27.0,58.0,1.4,6.1,1.0,4.1,300.0,3500.0,360.0,4400.0
2224.0,"RAJAPUKHURI AT GAURIPUR, 
ASSAM",POND,ASSAM,23.0,36.0,4.6,5.7,6.7,7.4,31.0,94.0,1.1,7.9,0.8,5.1,300.0,2000.0,360.0,15000.0
2225.0,"BASKANDI POND INSIDE THE 
BASKANDI MADRASA, 
BASKANDI, ASSAM",POND,ASSAM,22.0,27.0,4.7,5.8,6.7,7.6,63.0,136.0,2.8,8.1,0.2,1.4,300.0,1500.0,300.0,110000.0
2226.0,"SIVASAGAR TANK 
(BORPUKHURI) NEAR 
SIVADOL, ASSAM",POND,ASSAM,17.0,32.0,5.3,6.7,6.1,8.1,24.0,42.0,1.7,4.2,0.1,1.1,300.0,2000.0,360.0,24000.0
